subject,task,window_start_sec,window_end_sec,video_path,angry,disgust,fear,happy,sad,surprise,neutral,emotion_confidence,dominant_emotion,emotion_stress,frames_analyzed
s51,T1,0.0,60.0,H:\s51_to_s56\s51\vid_s51_T1.avi,0.018106734974263045,0.004974399480419441,0.024452811747776495,0.34344168164308014,0.3379858899369531,0.005411418374503074,0.2656270638430047,0.34344168164308014,happy,0.4317991535978045,1
s51,T1,30.0,90.0,H:\s51_to_s56\s51\vid_s51_T1.avi,0.3668844921076024,0.0008520006768423931,0.027278450110750294,0.00984904237862355,0.05865216591956486,0.003306966718749777,0.5331768820878667,0.5331768820878667,neutral,0.5337114577941411,1
s51,T1,60.0,120.0,H:\s51_to_s56\s51\vid_s51_T1.avi,0.006430640373718379,0.00020415024421595326,0.47203345463638724,0.032180413689510454,0.04038678712023177,0.00013991768944624647,0.44862463624648996,0.47203345463638724,fear,0.5850195704247216,1
s51,T1,90.0,150.0,H:\s51_to_s56\s51\vid_s51_T1.avi,0.3902041210919443,9.844320578182334e-05,0.022635170498940434,0.021372483018799616,0.31282402491747474,0.0001318546082916441,0.25273390265876744,0.3902041210919443,angry,0.6414978469469181,1
s51,T1,120.0,180.0,H:\s51_to_s56\s51\vid_s51_T1.avi,0.014615174886017098,0.0020168846689515496,0.024328226367479996,0.01123318971804243,0.15863094736748473,0.01909966381604496,0.7700759131759793,0.7700759131759793,neutral,0.4069079774650335,1
s51,T2,0.0,60.0,H:\s51_to_s56\s51\vid_s51_T2.avi,0.0021179799140148598,5.2262297015419225e-06,0.8390430487150133,0.002898982702198143,0.0328571452508723,0.018529432156628427,0.1045481850315714,0.8390430487150133,fear,0.7827100975384425,1
s51,T2,30.0,90.0,H:\s51_to_s56\s51\vid_s51_T2.avi,0.03057958856632263,0.020751962461075288,0.020573241603708225,0.14221010461511005,0.6402593358847046,0.0011312202078893087,0.14449454666118985,0.6402593358847046,sad,0.5895072274033683,1
s51,T2,60.0,120.0,H:\s51_to_s56\s51\vid_s51_T2.avi,0.17590302553161946,0.037679787638984996,0.37986238352554785,0.0034516939055025332,0.23133966674523906,0.0003315233424789089,0.1714319193106272,0.37986238352554785,fear,0.7114541189938477,1
s51,T2,90.0,150.0,H:\s51_to_s56\s51\vid_s51_T2.avi,0.03318555021251269,0.03486160083991342,0.033813392120285245,0.1917181705613045,0.2856180660336882,0.0037496025689470244,0.4170536176633489,0.4170536176633489,neutral,0.45466942935387655,1
s51,T2,120.0,180.0,H:\s51_to_s56\s51\vid_s51_T2.avi,0.046321797680354854,0.06336827555620701,0.034492261893098605,0.2425975648060836,0.1314910067255595,0.0067280193584180244,0.4750010739802784,0.4750010739802784,neutral,0.40350812895995536,1
s51,T3,0.0,60.0,H:\s51_to_s56\s51\vid_s51_T3.avi,8.308005403024457e-11,2.9430955131622116e-22,0.06764411683745708,8.054761458704894e-05,0.00016348042782518232,3.3143279601886545e-08,0.9321118218937711,0.9321118218937711,neutral,0.3559055050917729,1
s51,T3,30.0,90.0,H:\s51_to_s56\s51\vid_s51_T3.avi,0.007277776091719665,0.027743084685582346,0.21495084413515061,0.01197338770149043,0.3808491049990537,0.00010736396636231892,0.3570984384206409,0.3808491049990537,sad,0.598092851836141,1
s51,T3,60.0,120.0,H:\s51_to_s56\s51\vid_s51_T3.avi,0.029468375844302057,0.17937996560922814,0.03383810419820232,0.009436834084387414,0.14664514321094177,0.0016177862385823552,0.5996137908143561,0.5996137908143561,neutral,0.47436479459707076,1
s51,T3,90.0,150.0,H:\s51_to_s56\s51\vid_s51_T3.avi,0.031122367013321234,0.04291342460503084,0.018067221127855724,0.4815883199362387,0.152552635801068,0.002195353649024555,0.27156067786746096,0.4815883199362387,happy,0.3540668170905983,1
s51,T3,120.0,180.0,H:\s51_to_s56\s51\vid_s51_T3.avi,1.3956282842286554e-05,1.3623709768466065e-16,0.4107834335630892,6.763349220363513e-07,0.5741098380000222,8.243227283683705e-08,0.01509201338685123,0.5741098380000222,sad,0.7673657782767441,1
s52,T1,0.0,60.0,H:\s51_to_s56\s52\vid_s52_T1.avi,0.003923662386184638,3.550088732803821e-05,0.13832139668552748,0.6986618538614445,0.14122114748608078,1.835410842711059e-05,0.017818084585007443,0.6986618538614445,happy,0.3538864994069046,1
s52,T1,30.0,90.0,H:\s51_to_s56\s52\vid_s52_T1.avi,0.0005564177876178549,1.338747994209731e-05,0.025545484161422525,0.7991663714157411,0.02412276563238405,3.1622845100319677e-05,0.15056395067779185,0.7991663714157411,happy,0.23158409414551256,1
s52,T1,60.0,120.0,H:\s51_to_s56\s52\vid_s52_T1.avi,0.2964805976298185,0.0009395218804896678,0.012156388513295318,0.14325909205709864,0.029869708943624708,0.0006344271046326028,0.5166602638710406,0.5166602638710406,neutral,0.4611293295748573,1
s52,T1,90.0,150.0,H:\s51_to_s56\s52\vid_s52_T1.avi,0.4542724575838917,0.010291425525124099,0.054661200178162124,0.00627269374191875,0.022603647607505162,0.0018180698961993763,0.45008050546719885,0.4542724575838917,angry,0.5793075669189979,1
