subject,task,window_start_sec,window_end_sec,video_path,angry,disgust,fear,happy,sad,surprise,neutral,emotion_confidence,dominant_emotion,emotion_stress,frames_analyzed
s11,T1,0.0,60.0,H:\s11_to_s20\s11\vid_s11_T1.avi,0.028453202407766703,5.364374047169551e-07,0.16228069235918186,0.19179963941134828,0.22121292805603854,0.011900999733846347,0.3843520015944136,0.3843520015944136,neutral,0.4840369488671714,3
s11,T1,30.0,90.0,H:\s11_to_s20\s11\vid_s11_T1.avi,0.10043948013340671,7.842106129860772e-07,0.21903472308163507,0.2013306358758863,0.31367257171026647,0.00013402475834464628,0.1653877802298478,0.31367257171026647,sad,0.5816132013690243,3
s11,T1,60.0,120.0,H:\s11_to_s20\s11\vid_s11_T1.avi,0.06151047438964808,0.004351181432898753,0.045172137624612974,0.0058515354515231615,0.600192834561235,0.03820355590963085,0.2447182806304513,0.600192834561235,sad,0.6230774226844153,3
s11,T1,90.0,150.0,H:\s11_to_s20\s11\vid_s11_T1.avi,0.01784679708856475,0.0007315536493001086,0.2979508288871983,0.16887010273256287,0.4384228770228735,0.006341316521843036,0.06983652409765738,0.4384228770228735,sad,0.6399296004530888,3
s11,T1,120.0,180.0,H:\s11_to_s20\s11\vid_s11_T1.avi,0.08724622884554895,0.007511364757350057,0.046145080600966476,0.13086468130291354,0.6654915000916062,0.000624586378253652,0.062116558023360996,0.6654915000916062,sad,0.6370583733982547,3
s11,T2,0.0,60.0,H:\s11_to_s20\s11\vid_s11_T2.avi,1.0130198995085313e-09,2.0747571095101512e-21,2.8096501933198455e-09,3.7503960236581614e-09,0.7691001651085161,2.6458048357030144e-20,0.23089982731841793,0.7691001651085161,sad,0.6276400674937151,3
s11,T2,30.0,90.0,H:\s11_to_s20\s11\vid_s11_T2.avi,0.14354009506189427,3.538580194055615e-18,1.6468166729224803e-06,5.053928953608571e-07,0.6432757102035486,8.264814129840158e-15,0.2131820425249805,0.6432757102035486,sad,0.6462103317689618,3
s11,T2,60.0,120.0,H:\s11_to_s20\s11\vid_s11_T2.avi,0.01074652414751933,4.1602821218128945e-16,0.0023112786847833927,0.03883878330988356,0.5793632315085119,1.3691820940879208e-09,0.36874018098011946,0.5793632315085119,sad,0.5526911725486776,3
s11,T2,90.0,150.0,H:\s11_to_s20\s11\vid_s11_T2.avi,0.024778560437263477,1.7400908558648818e-09,0.11862453542072272,0.000126763796337426,0.5081877118424877,1.9413962225358492e-10,0.34828242656895814,0.5081877118424877,sad,0.5980220512594622,3
s11,T2,120.0,180.0,H:\s11_to_s20\s11\vid_s11_T2.avi,0.019853646113781927,5.2688539246684825e-14,0.0008549963575402957,1.532035720890555e-05,0.6445973976913709,7.742699323077945e-06,0.3346708967807221,0.6445973976913709,sad,0.587821493251514,3
s11,T3,0.0,60.0,H:\s11_to_s20\s11\vid_s11_T3.avi,0.08806700608865858,1.1864505385980818e-12,0.005271347302438921,0.02502258160245324,0.04724977029587307,0.00032041855183815817,0.8340688761575515,0.8340688761575515,neutral,0.3805364199542044,3
s11,T3,30.0,90.0,H:\s11_to_s20\s11\vid_s11_T3.avi,0.027143557986723188,3.471006289972488e-05,0.12172483206291179,0.35799371578110145,0.162775036078762,0.0015186334981419118,0.32880951452946,0.35799371578110145,happy,0.4128957443763375,3
s11,T3,60.0,120.0,H:\s11_to_s20\s11\vid_s11_T3.avi,0.05565864917500867,0.00011383105289632198,0.05042150810822906,0.403016153275959,0.23199003489331327,0.00015081142426640287,0.25864901207032726,0.403016153275959,happy,0.40988896920668055,3
s11,T3,90.0,150.0,H:\s11_to_s20\s11\vid_s11_T3.avi,0.26514446500332506,0.0006093356342755718,0.11720063614248798,0.017018771804176155,0.290812694317662,0.0183119436750239,0.2909021534230493,0.2909021534230493,neutral,0.6277592379051896,3
s11,T3,120.0,180.0,H:\s11_to_s20\s11\vid_s11_T3.avi,0.0899383314680899,0.00011631224668186446,0.05192068060671102,0.2905101603634593,0.01983821354110978,0.07662473396408102,0.47105156780986707,0.47105156780986707,neutral,0.3756177840123437,3
s12,T1,0.0,60.0,H:\s11_to_s20\s12\vid_s12_T1.avi,0.029797122390206474,0.0007322665562330886,0.036752269562775115,0.1135541479602226,0.3861016089416666,0.004518532223664765,0.42854405236523135,0.42854405236523135,neutral,0.4936272628494922,3
s12,T1,30.0,90.0,H:\s11_to_s20\s12\vid_s12_T1.avi,0.0766942495287889,0.0015340271474999251,0.02935676518546396,0.15238394422788942,0.203571104108809,0.010016229491801225,0.5264436803097475,0.5264436803097475,neutral,0.43532299732994784,3
s12,T1,60.0,120.0,H:\s11_to_s20\s12\vid_s12_T1.avi,0.023660155781889885,0.0003633567904351987,0.015905536636564202,0.16802062320094402,0.28696821192956107,0.0009115528151552248,0.5041705628454504,0.5041705628454504,neutral,0.4313916723084208,3
s12,T1,90.0,150.0,H:\s11_to_s20\s12\vid_s12_T1.avi,0.012184087878322375,0.0009204467028312355,0.011669152069243146,0.2820574604969491,0.24723501262906233,0.002812634306967833,0.4431212059166239,0.4431212059166239,neutral,0.3924172400639675,3
s12,T1,120.0,180.0,H:\s11_to_s20\s12\vid_s12_T1.avi,0.25813323844825625,0.001169380916701464,0.034687685669259324,0.05707914805265247,0.09314467419791161,0.04358898201178485,0.5121968907034341,0.5121968907034341,neutral,0.5020016598043868,3
s12,T2,0.0,60.0,H:\s11_to_s20\s12\vid_s12_T2.avi,0.034688691737464326,0.00045294753143254157,0.18368887889886257,0.16534810435587535,0.2475596434693302,0.07311957125228571,0.2951421627547493,0.2951421627547493,neutral,0.526861363127631,3
s12,T2,30.0,90.0,H:\s11_to_s20\s12\vid_s12_T2.avi,0.16368398823868593,0.0031398558106072692,0.13646030786188643,0.12890416997079665,0.1145283034127687,0.23665469311934695,0.216628681585908,0.23665469311934695,surprise,0.5542179425998334,3
s12,T2,60.0,120.0,H:\s11_to_s20\s12\vid_s12_T2.avi,0.10408640630830428,1.4229533801065445e-05,0.3968258091395709,0.25206330468327265,0.034995754179908516,0.08496841443337544,0.12704608172176718,0.3968258091395709,fear,0.5785364508401086,3
s12,T2,90.0,150.0,H:\s11_to_s20\s12\vid_s12_T2.avi,0.016705590247296762,3.6093234981816346e-07,0.07878095524702693,0.4167500391261904,0.04846928454630217,0.23744230678646486,0.2018514631143691,0.4167500391261904,happy,0.3854271584370138,3
s12,T2,120.0,180.0,H:\s11_to_s20\s12\vid_s12_T2.avi,0.19241051836915077,0.0023401254146256357,0.06608601544964494,0.22826556980975188,0.2152870597078923,0.05126866962834765,0.2443420416205869,0.2443420416205869,neutral,0.5141745202790811,3
s12,T3,0.0,60.0,H:\s11_to_s20\s12\vid_s12_T3.avi,0.2569294836837462,0.0009712911261962285,0.008169434728649585,0.4040059498835394,0.1831305599301023,0.013577487681607206,0.13321579296615907,0.4040059498835394,happy,0.46781983053492815,3
s12,T3,30.0,90.0,H:\s11_to_s20\s12\vid_s12_T3.avi,0.08246500042620289,0.005529906339904359,0.05316047770250968,0.1985280293523977,0.02594160346455206,0.09840801503319446,0.5359669676812389,0.5359669676812389,neutral,0.39496558040339297,3
s12,T3,60.0,120.0,H:\s11_to_s20\s12\vid_s12_T3.avi,0.015704019558006474,0.02423229696315163,0.2927964180991161,0.31091341423066116,0.21257329806161093,0.017357592194068266,0.12642296089338542,0.31091341423066116,happy,0.5369373453240968,3
s12,T3,90.0,150.0,H:\s11_to_s20\s12\vid_s12_T3.avi,0.06379553658691652,0.0007111825207698849,0.27035667693752513,0.09316928019940411,0.20319594085736511,0.003927493032062134,0.3648438898659571,0.3648438898659571,neutral,0.5633049225584892,3
s12,T3,120.0,180.0,H:\s11_to_s20\s12\vid_s12_T3.avi,0.09714506609225976,0.0030622303239613417,0.12696659251532644,0.16081244428891076,0.1818913970908016,0.003494617947295727,0.4266276517414444,0.4266276517414444,neutral,0.4860709074377849,3
s13,T1,0.0,60.0,H:\s11_to_s20\s13\vid_s13_T1.avi,0.011240961235000228,1.6500386375674659e-06,0.3937256643535531,0.02030419851083947,0.16977094868287376,0.0137096876041473,0.3912468895749485,0.3937256643535531,fear,0.6022898773446785,3
s13,T1,30.0,90.0,H:\s11_to_s20\s13\vid_s13_T1.avi,0.07138861398171718,0.018566825881946483,0.0939268621361946,0.06773306766937502,0.5457110863546905,0.019528812384780325,0.18314473159129596,0.5457110863546905,sad,0.6240252608775713,3
s13,T1,60.0,120.0,H:\s11_to_s20\s13\vid_s13_T1.avi,0.0620943940001245,0.0016048643362311038,0.05753893240334331,0.0504757422563808,0.38912151033400905,0.0014648477171925794,0.43769970895271876,0.43769970895271876,neutral,0.5297976096475395,3
s13,T1,90.0,150.0,H:\s11_to_s20\s13\vid_s13_T1.avi,0.04132402397818808,0.00016272914314051837,0.05356550876907009,0.019608654092204122,0.549150097411158,0.0002748663025007648,0.3359141203037385,0.549150097411158,sad,0.5852618802897978,3
s13,T1,120.0,180.0,H:\s11_to_s20\s13\vid_s13_T1.avi,0.14450177250536103,0.0012758371488056338,0.14317057524910337,0.010549513394922765,0.6334977935471463,0.0009937753144519629,0.06601073284020893,0.6334977935471463,sad,0.7178513109240613,3
s13,T2,0.0,60.0,H:\s11_to_s20\s13\vid_s13_T2.avi,0.0002210904246912986,6.923216083213994e-09,0.33740348639553847,0.40743078034811425,0.007868075084870271,0.0009099246760771756,0.24616663614749243,0.40743078034811425,happy,0.44524617714655484,3
s13,T2,30.0,90.0,H:\s11_to_s20\s13\vid_s13_T2.avi,0.2934164226774156,0.04273733534110088,0.05619880944704061,0.27652979357643476,0.15424918214518143,0.008451848555582965,0.1684166082572438,0.2934164226774156,angry,0.5309401195400432,3
s13,T2,60.0,120.0,H:\s11_to_s20\s13\vid_s13_T2.avi,0.0845180969347142,5.4127856753098e-05,0.076552359845709,0.32272430387085227,0.055833831365233046,0.028653852027271023,0.4316634280994674,0.4316634280994674,neutral,0.384903439245766,3
s13,T2,90.0,150.0,H:\s11_to_s20\s13\vid_s13_T2.avi,0.15431012390953533,2.298319999381902e-06,0.4681446792499296,0.1197050790408319,0.08902667756349371,0.033264467995496864,0.13554667392071332,0.4681446792499296,fear,0.6686891544728847,3
s13,T2,120.0,180.0,H:\s11_to_s20\s13\vid_s13_T2.avi,0.06836919944318365,0.0014044190120232815,0.1981161958352844,0.0906155087556869,0.37455388412121265,0.022769636144051104,0.24417115668855802,0.37455388412121265,sad,0.6006967891055778,3
s13,T3,0.0,60.0,H:\s11_to_s20\s13\vid_s13_T3.avi,0.0780354448454978,0.0014221183924080021,0.15047036447192247,0.05878963362339897,0.183205577205539,0.01996151233951133,0.5081153491217224,0.5081153491217224,neutral,0.5073610993302521,3
s13,T3,30.0,90.0,H:\s11_to_s20\s13\vid_s13_T3.avi,0.02368668227640543,0.014870334637111148,0.17808296931845402,0.13078444321825616,0.2092964615961782,0.05016056879954437,0.3931185401540506,0.3931185401540506,neutral,0.5080525951126258,3
s13,T3,60.0,120.0,H:\s11_to_s20\s13\vid_s13_T3.avi,0.07136127263058456,0.10663172946751857,0.22957331424336122,0.077779472080536,0.28222504612708493,0.008161025836489805,0.22426813961442493,0.28222504612708493,sad,0.6181926183219203,3
