subject,task,window_start_sec,window_end_sec,video_path,angry,disgust,fear,happy,sad,surprise,neutral,emotion_confidence,dominant_emotion,emotion_stress,frames_analyzed
s1,T1,0.0,60.0,H:\s1_to_s10\s1\vid_s1_T1.avi,0.11252265126743578,0.011168561708331094,0.3008926019018199,0.1102335185326126,0.057420735369639875,0.002345925160474336,0.4054160060596865,0.4054160060596865,neutral,0.5455797981715322,3
s1,T1,30.0,90.0,H:\s1_to_s10\s1\vid_s1_T1.avi,0.24920770002585405,0.003349365448898619,0.3041796400870323,0.04964143025709735,0.1858233481393299,0.0026233794187929915,0.2051751366229947,0.3041796400870323,fear,0.6700235931062013,3
s1,T1,60.0,120.0,H:\s1_to_s10\s1\vid_s1_T1.avi,0.32684304353953253,0.019818599459174097,0.12379706666533581,0.10149352648487903,0.06773100927906907,0.0025342135683415943,0.35778254100366785,0.35778254100366785,neutral,0.5630979811613694,3
s1,T1,90.0,150.0,H:\s1_to_s10\s1\vid_s1_T1.avi,0.19364879444548996,0.0587585706067392,0.18265942492889853,0.22555707345139844,0.09838493681833087,0.0024184862114702125,0.23857271353767281,0.23857271353767281,neutral,0.5392462382373523,3
s1,T1,120.0,180.0,H:\s1_to_s10\s1\vid_s1_T1.avi,0.022936066152979218,0.014272587085337596,0.4746585142581614,0.16749146658984385,0.1288584941253679,0.03029752905672466,0.1614853427315853,0.4746585142581614,fear,0.6227794796715926,3
s1,T2,0.0,60.0,H:\s1_to_s10\s1\vid_s1_T2.avi,0.029979423349123,0.02850288076384377,0.16846371385744405,0.14610963449618025,0.12058470649876336,0.04669656347185222,0.4596630775627934,0.4596630775627934,neutral,0.47245567199557426,3
s1,T2,30.0,90.0,H:\s1_to_s10\s1\vid_s1_T2.avi,0.14631256193073033,0.004630762713499821,0.05217525490586982,0.5153097055497191,0.026759880875220535,0.027338795773644075,0.2274730382513163,0.5153097055497191,happy,0.3643985060047871,3
s1,T2,60.0,120.0,H:\s1_to_s10\s1\vid_s1_T2.avi,0.05044315584309319,0.05304553538202528,0.03139431952328355,0.2831602687522064,0.09537468236346387,0.16830796835156278,0.31827406978436495,0.31827406978436495,neutral,0.41716636493049025,3
s1,T2,90.0,150.0,H:\s1_to_s10\s1\vid_s1_T2.avi,0.055317948372440244,0.027096210478735658,0.19908408526387086,0.38228746588402046,0.18864038862461785,0.08024981690842042,0.06732408446789451,0.38228746588402046,happy,0.5022151842959887,3
s1,T2,120.0,180.0,H:\s1_to_s10\s1\vid_s1_T2.avi,0.06926745617996777,7.922114984776798e-05,0.09792072799411035,0.613766581529063,0.009433860722453087,0.08187281460640049,0.1276593378181575,0.613766581529063,happy,0.34185185465159273,3
s1,T3,0.0,60.0,H:\s1_to_s10\s1\vid_s1_T3.avi,0.13819512304408302,0.012679313059099471,0.02392120723345777,0.4576523202589753,0.01893861012034215,0.1420071297151557,0.20660629656888663,0.4576523202589753,happy,0.37974221064253444,3
s1,T3,30.0,90.0,H:\s1_to_s10\s1\vid_s1_T3.avi,0.08885195389105895,0.0016956964080307132,0.43644295491723245,0.2041347327638597,0.06576648702400115,0.004274477253770688,0.1988336977420463,0.43644295491723245,fear,0.5932850166717599,3
s1,T3,60.0,120.0,H:\s1_to_s10\s1\vid_s1_T3.avi,0.03158348892487806,0.0011337732944810156,0.09868228428170604,0.7202101170434219,0.06327938514974403,0.005848729121485825,0.07926222218428317,0.7202101170434219,happy,0.31369738911101913,3
s1,T3,90.0,150.0,H:\s1_to_s10\s1\vid_s1_T3.avi,0.24791933250336248,0.01592641720433575,0.043623578161470965,0.30863665963857945,0.07348453775959635,0.012633789922989481,0.29777568480966554,0.30863665963857945,happy,0.4569457406574795,3
s1,T3,120.0,180.0,H:\s1_to_s10\s1\vid_s1_T3.avi,0.09983895118174811,0.0006741059095642373,0.02446639852071274,0.5893877056774081,0.05040281030980001,0.004823144873602278,0.23040688352716446,0.5893877056774081,happy,0.31988873456067135,3
s10,T1,0.0,60.0,H:\s1_to_s10\s10\vid_s10_T1.avi,0.015500386707796548,8.07889061619173e-05,0.14000590456433257,0.1575363925015879,0.17293946159857435,0.004171303347319286,0.5097657623742274,0.5097657623742274,neutral,0.44975248850414773,3
s10,T1,30.0,90.0,H:\s1_to_s10\s10\vid_s10_T1.avi,0.03181036398552395,8.542026643221441e-06,0.26505905836440286,0.14231983499197512,0.10837333815501178,0.002845428613707363,0.44958343386273564,0.44958343386273564,neutral,0.4998323577200574,3
s10,T1,60.0,120.0,H:\s1_to_s10\s10\vid_s10_T1.avi,0.2835481046807755,2.9758800143156117e-05,0.12983972109614184,0.04466000029350703,0.08657250144249984,0.00016619107615591675,0.4551837226107767,0.4551837226107767,neutral,0.5533436800792038,3
s10,T1,90.0,150.0,H:\s1_to_s10\s10\vid_s10_T1.avi,0.0536892680167953,0.0003964475835926853,0.10692302276423886,0.04071042703261573,0.19480095628632657,0.0001240501578090109,0.6033558281586218,0.6033558281586218,neutral,0.4748322261094622,3
s10,T1,120.0,180.0,H:\s1_to_s10\s10\vid_s10_T1.avi,0.12567571431350352,3.6888833685257345e-06,0.11003926209599392,0.07936039721480002,0.013306322818810145,0.0006637157415507825,0.6709508989319731,0.6709508989319731,neutral,0.4330112079173799,3
s10,T2,0.0,60.0,H:\s1_to_s10\s10\vid_s10_T2.avi,0.11206637542334928,0.01146063433576795,0.1578110891958254,0.32956652695714017,0.03552828892561188,0.04736072596384067,0.3062063591984647,0.32956652695714017,happy,0.4405225346058001,3
s10,T2,30.0,90.0,H:\s1_to_s10\s10\vid_s10_T2.avi,0.17843028641740524,0.04753719594324238,0.032856809706937114,0.11699121863330493,0.04513178494806503,0.012222856653183428,0.5668298476978619,0.5668298476978619,neutral,0.44465923756539394,3
s10,T2,60.0,120.0,H:\s1_to_s10\s10\vid_s10_T2.avi,0.19280907341552214,1.9194999023361747e-05,0.010068733861052422,0.1834148113192646,0.2383874989816799,0.0026257464085650537,0.37267494101489257,0.37267494101489257,neutral,0.4881725420674018,3
s10,T2,90.0,150.0,H:\s1_to_s10\s10\vid_s10_T2.avi,0.060941069911941266,0.00018870056257627214,0.015311475993047712,0.39749767217451004,0.18058834217925956,0.00025133657274206434,0.34522140260592304,0.39749767217451004,happy,0.37407819821557764,3
s10,T2,120.0,180.0,H:\s1_to_s10\s10\vid_s10_T2.avi,0.13829776337742758,0.005674334459678266,0.18739581235968217,0.10414902621003959,0.21037596006859596,0.006827820619303233,0.34727928290527316,0.34727928290527316,neutral,0.5588853864777537,3
s10,T3,0.0,60.0,H:\s1_to_s10\s10\vid_s10_T3.avi,0.061337910222336166,0.23119978633681762,0.22704025295628258,0.1671777392701209,0.01503026112247805,0.015566872858161775,0.2826471772338029,0.2826471772338029,neutral,0.539193055763357,3
s10,T3,30.0,90.0,H:\s1_to_s10\s10\vid_s10_T3.avi,0.09829146798700976,0.0003716988051499735,0.2073807111778607,0.26380375130930916,0.02465500908729035,0.19810604189851352,0.2073913197348666,0.26380375130930916,happy,0.4957193612161559,3
s10,T3,60.0,120.0,H:\s1_to_s10\s10\vid_s10_T3.avi,0.059092579479466695,0.00012714342860539103,0.07163270543154414,0.16909942670727526,0.13155123013719258,0.10210527583729484,0.4663916389786211,0.4663916389786211,neutral,0.4388063294215967,3
s10,T3,90.0,150.0,H:\s1_to_s10\s10\vid_s10_T3.avi,0.0498183396976798,0.016372426536756083,0.2561724599825211,0.06663079256445509,0.08035753949839841,0.036120678918904796,0.4945277628012847,0.4945277628012847,neutral,0.5167007413905383,3
s10,T3,120.0,180.0,H:\s1_to_s10\s10\vid_s10_T3.avi,0.04336627261880396,2.8174950368771343e-06,0.06520676934542792,0.19146803202356458,0.21558241550574286,0.09581396227079976,0.38855973074062405,0.38855973074062405,neutral,0.456841065949598,3
s2,T1,0.0,60.0,H:\s1_to_s10\s2\vid_s2_T1.avi,0.011735807573660682,0.0002219408040375945,0.02451358757480652,0.13718826349241928,0.4007267470800567,4.9839427131895074e-05,0.4255638140478874,0.4255638140478874,neutral,0.4798010927507824,3
s2,T1,30.0,90.0,H:\s1_to_s10\s2\vid_s2_T1.avi,0.2548285569817755,0.0019369941651662505,0.012913318720376751,0.23852824095864925,0.07692060791986005,0.0001960021871025386,0.4146762790670697,0.4146762790670697,neutral,0.44727845410927847,3
s2,T1,60.0,120.0,H:\s1_to_s10\s2\vid_s2_T1.avi,0.1799046810721013,0.0006353289086727041,0.06851518164088882,0.20614339658265357,0.030245398922822863,0.00020904740655156308,0.5143469654663092,0.5143469654663092,neutral,0.4261821765424664,3
s2,T1,90.0,150.0,H:\s1_to_s10\s2\vid_s2_T1.avi,0.20505383797563828,0.0046168148251634735,0.011720928730192615,0.22702370146878303,0.09633092824342206,0.0004702305400106175,0.4547835582167899,0.4547835582167899,neutral,0.4331571939083089,3
s2,T1,120.0,180.0,H:\s1_to_s10\s2\vid_s2_T1.avi,0.06188687366630755,0.02554346664644903,0.05080210407673652,0.34241103829819264,0.18325050101828302,0.00034842640331505143,0.3357575898907162,0.34241103829819264,happy,0.41126925563154837,3
s2,T2,0.0,60.0,H:\s1_to_s10\s2\vid_s2_T2.avi,0.06023334811210688,0.08292086597116936,0.10792785770093404,0.17566021598406603,0.24813167170276498,0.017736760333602972,0.3073892801953558,0.3073892801953558,neutral,0.5147049767449928,3
s2,T2,30.0,90.0,H:\s1_to_s10\s2\vid_s2_T2.avi,0.04966638691362062,0.0014562897640314687,0.19177997964119253,0.12372435598039387,0.08595559095039677,0.009222979975712985,0.5381944167746519,0.5381944167746519,neutral,0.46518963118073886,3
s2,T2,60.0,120.0,H:\s1_to_s10\s2\vid_s2_T2.avi,0.08574481870908579,4.583569765107459e-06,0.0780282171678953,0.0031857367154144492,0.32780576570555336,0.00045826173750688326,0.5047726163947791,0.5047726163947791,neutral,0.533295821506151,3
s2,T2,90.0,150.0,H:\s1_to_s10\s2\vid_s2_T2.avi,0.14092241202042763,0.005506297907863343,0.01618804464870911,0.3774006719080099,0.1425318496837241,0.0007573559478511821,0.31669336788341473,0.3774006719080099,happy,0.4025555263548259,3
s2,T2,120.0,180.0,H:\s1_to_s10\s2\vid_s2_T2.avi,0.0011069276109200975,7.478056404090303e-09,0.0012905478506010247,0.3564251933912869,0.09730099403077946,0.00035689557703663953,0.5435194340613195,0.5435194340613195,neutral,0.3103182748264106,3
s2,T3,0.0,60.0,H:\s1_to_s10\s2\vid_s2_T3.avi,0.01151276664136374,0.011518466076219836,0.017985760317117145,0.185623398533984,0.18970744671055106,0.000446723791943511,0.5832054379288208,0.5832054379288208,neutral,0.3892036781049755,3
s2,T3,30.0,90.0,H:\s1_to_s10\s2\vid_s2_T3.avi,0.052129011619828865,0.03966182616060091,0.24513521418400708,0.09692935094052303,0.3366638490462946,0.01802297096685475,0.2114577770818908,0.3366638490462946,sad,0.6144625603220792,3
s2,T3,60.0,120.0,H:\s1_to_s10\s2\vid_s2_T3.avi,0.07804891536486921,0.07937076850268915,0.1332078112382424,0.13885588110722485,0.2559740299948265,0.020755920657130934,0.29378667313501694,0.29378667313501694,neutral,0.5443607463864331,3
